date,value
2020-07-31,4535607
2020-07-30,4468104
2020-07-29,4398386
2020-07-28,4331417
2020-07-27,4275188
2020-07-26,4220054
2020-07-25,4158341
2020-07-24,4092928
2020-07-23,4017735
2020-07-22,3946708
2020-07-21,3877558
2020-07-20,3813916
2020-07-19,3756945
2020-07-18,3692061
2020-07-17,3626881
2020-07-16,3549648
2020-07-15,3478695
2020-07-14,3413313
2020-07-13,3350434
2020-07-12,3291969
2020-07-11,3230991
2020-07-10,3167984
2020-07-09,3101339
2020-07-08,3042503
2020-07-07,2980356
2020-07-06,2928590
2020-07-05,2886990
2020-07-04,2841201
2020-07-03,2786467
2020-07-02,2732244
2020-07-01,2678418
2020-06-30,2627744
2020-06-29,2580282
2020-06-28,2541107
2020-06-27,2499250
2020-06-26,2455467
2020-06-25,2411046
2020-06-24,2371974
2020-06-23,2333290
2020-06-22,2300269
2020-06-21,2273252
2020-06-20,2245968
2020-06-19,2213974
2020-06-18,2182928
2020-06-17,2155401
2020-06-16,2131528
2020-06-15,2108093
2020-06-14,2089583
2020-06-13,2068210
2020-06-12,2042869
2020-06-11,2019392
2020-06-10,1997360
2020-06-09,1976557
2020-06-08,1959382
2020-06-07,1942370
2020-06-06,1923547
2020-06-05,1900441
2020-06-04,1877089
2020-06-03,1856250
2020-06-02,1835938
2020-06-01,1815956
2020-05-31,1795541
2020-05-30,1773902
2020-05-29,1750140
2020-05-28,1726618
2020-05-27,1704017
2020-05-26,1684632
2020-05-25,1668003
2020-05-24,1649205
2020-05-23,1629100
2020-05-22,1607510
2020-05-21,1582955
2020-05-20,1556442
2020-05-19,1535123
2020-05-18,1514270
2020-05-17,1493278
2020-05-16,1473107
2020-05-15,1448406
2020-05-14,1423696
2020-05-13,1396991
2020-05-12,1375798
2020-05-11,1353135
2020-05-10,1334899
2020-05-09,1313395
2020-05-08,1288585
2020-05-07,1260980
2020-05-06,1233490
2020-05-05,1208434
2020-05-04,1185985
2020-05-03,1163462
2020-05-02,1137695
2020-05-01,1108510
2020-04-30,1075454
2020-04-29,1045886
2020-04-28,1019245
2020-04-27,994026
2020-04-26,971421
2020-04-25,944041
2020-04-24,908140
2020-04-23,873966
2020-04-22,842182
2020-04-21,813266
2020-04-20,786933
2020-04-19,761061
2020-04-18,733593
2020-04-17,705630
2020-04-16,673666
2020-04-15,642743
2020-04-14,612445
2020-04-13,586814
2020-04-12,561681
2020-04-11,533837
2020-04-10,503276
2020-04-09,468925
2020-04-08,434506
2020-04-07,403972
2020-04-06,373235
2020-04-05,344298
2020-04-04,318748
2020-04-03,285496
2020-04-02,253551
2020-04-01,225559
2020-03-31,199786
2020-03-30,175092
2020-03-29,153195
2020-03-28,133540
2020-03-27,113816
2020-03-26,94772
2020-03-25,77116
2020-03-24,64243
2020-03-23,53611
2020-03-22,42169
2020-03-21,32910
2020-03-20,26025
2020-03-19,19770
2020-03-18,15099
2020-03-17,11928
2020-03-16,8315
2020-03-15,6746
2020-03-14,5495
2020-03-13,4580
2020-03-12,3555
2020-03-11,2873
2020-03-10,2346
2020-03-09,1905
2020-03-08,1538
2020-03-07,1271
2020-03-06,1051
2020-03-05,910
2020-03-04,757
2020-03-03,570
2020-03-02,470
2020-03-01,388
2020-02-29,299
2020-02-28,275
2020-02-27,235
2020-02-26,208
2020-02-25,179
2020-02-24,148
2020-02-23,122
2020-02-22,106
2020-02-21,93
2020-02-20,82
2020-02-19,69
2020-02-18,59
2020-02-17,50
2020-02-16,35
2020-02-15,28
2020-02-14,21
2020-02-13,18
2020-02-12,18
2020-02-11,17
2020-02-10,16
2020-02-09,13
2020-02-08,13
2020-02-07,12
2020-02-06,11
2020-02-05,8
2020-02-04,8
2020-02-03,7
2020-02-02,6
2020-02-01,4
2020-01-31,3
2020-01-30,3
2020-01-29,3
2020-01-28,2
2020-01-27,2
2020-01-26,2
2020-01-25,2
2020-01-24,2
2020-01-23,2
2020-01-22,2
