date,value,tx,ut,va,vt,wa,wi,wv,wy,al,ar,az,ca,co,ct,dc,de,fl,ga,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,ri,sc,sd,tn,ak
7-31-2020,4535607,430485,40702,90801,1421,55803,58058,6735,2769,89349,43173,177002,500130,46809,49810,12205,14877,480028,190012,2111,44976,20721,181757,67122,27812,30723,116280,117612,89365,3937,91332,55188,51258,59881,4081,123878,6602,26211,6613,182029,20600,49074,415767,92087,37731,18817,112936,19022,90599,8867,108184,3827
7-30-2020,4468104,420946,40196,89888,1414,55803,56934,6642,2726,87723,42511,174010,493588,46204,49810,12126,14788,470386,186352,1989,44582,20246,180118,66154,27812,30151,116280,117612,88346,3912,90574,54463,50323,58747,3965,122148,6469,25766,6544,181660,20388,48088,415014,91159,36487,18492,112048,19022,89016,8764,105959,3677
7-29-2020,4398386,412107,39696,88904,1407,54985,56079,6422,2686,85762,41759,170798,485502,45796,49670,12057,14689,461379,182286,1865,44038,19679,178138,65253,26870,29386,114481,117098,87177,3888,89781,53692,48834,57579,3814,120194,6301,25422,6513,180970,20388,46824,414370,89626,35740,18131,111078,18950,87572,8685,102871,3559
7-28-2020,4331417,403307,39194,87993,1406,54205,54988,6326,2628,83782,40968,168273,475305,45314,49540,11999,14602,451423,178323,1757,43277,19222,176366,64299,26870,28727,112773,116684,86285,3866,88974,52947,46750,55804,3676,117850,6227,25157,6500,180766,19791,45806,413593,87893,34623,17721,110218,18800,85846,8641,100822,3442
7-27-2020,4275188,394265,38855,86994,1405,53321,54064,6173,2589,82366,40181,165934,466550,44565,49077,11945,14476,441977,175052,1711,42777,18694,174973,63678,26172,28126,111038,116182,85524,3838,87958,52281,44823,54299,3475,116087,6141,24899,6500,180295,19502,44936,412878,86497,33775,17416,109384,18725,84109,8492,96489,3350
7-26-2020,4220054,385923,38409,86072,1402,52635,53281,6054,2520,81115,39447,163827,460550,44336,48983,11858,14406,432747,170843,1683,42554,18177,173897,62907,26172,27601,109917,115926,84876,3832,87173,51803,43050,52957,3381,114338,5986,24618,6436,179812,19042,43831,412344,85177,32686,17088,108264,18515,82417,8444,96489,3206
7-25-2020,4158341,381656,37973,84567,1400,51849,52680,5960,2475,79294,38623,162014,453659,43789,48776,11780,14290,423855,167953,1620,42200,17827,172666,62372,25109,27079,107574,115637,83748,3814,86661,51153,41927,52304,3342,112713,5876,24395,6436,179363,18788,42843,411736,84073,31285,16758,107425,18224,81199,8395,93936,3102
7-24-2020,4092928,375846,37623,83609,1396,50824,51715,5821,2446,78130,37249,160041,445400,42980,48776,11717,14175,414511,165188,1549,41671,17264,171125,61520,25109,26764,103734,115268,83054,3790,85072,50291,40709,51097,3260,111092,5736,24174,6415,178858,18475,41816,411200,83184,30081,16492,106625,18224,80008,8305,90796,2868
7-23-2020,4017735,369826,36962,82364,1385,50009,50727,5695,2405,76005,37249,156301,435334,42314,48776,11649,14202,402312,161401,1490,41271,16736,169699,60598,25109,25931,103734,114647,81766,3757,85072,49488,39352,49663,3039,108995,5614,23818,6318,178345,18163,40885,410450,81746,29116,16104,105571,18224,78607,8200,89078,2748
7-22-2020,3946708,361125,36099,81237,1377,49247,49669,5550,2346,74212,36259,152944,425616,41698,48232,11571,13924,389868,156588,1435,40634,16322,168100,59602,24104,25147,101650,114320,80836,3737,84431,48721,37700,48053,2910,106893,5493,23486,6295,177887,17828,39919,409697,80186,27969,15713,104358,18148,76606,8143,86987,2684
7-21-2020,3877558,351618,35578,80393,1366,48575,48583,5206,2288,71813,35246,150609,413576,41059,48223,11529,13792,379619,152302,1418,39793,15822,166476,58673,24104,24540,99354,114320,80172,3723,83730,47961,36063,47071,2813,105001,5367,23190,6262,177645,17517,38657,408886,78742,27301,15393,103396,18062,75042,8077,84417,2619
7-20-2020,3813916,341739,35012,79371,1366,47743,47836,5199,2238,70358,34655,148683,400769,40566,48096,11427,13746,369834,148988,1393,39474,15266,164878,57916,23334,24060,96583,114033,79545,3723,83059,47457,34762,45524,2712,102861,5207,22847,6249,177256,17215,37528,408181,77215,26326,15139,102765,17986,73337,8019,81944,2525
7-19-2020,3756945,332434,34526,78375,1360,46946,46675,5142,2187,68891,33927,145183,391538,40142,48055,11339,13519,360394,145575,1381,39166,14873,163923,57206,23334,23414,94892,113789,78685,3711,82395,47107,33624,43889,2621,101046,5126,22583,6203,176963,16971,36713,407326,76168,25433,14847,101738,17904,71445,7943,79754,2414
7-18-2020,3692061,325030,34117,77430,1350,46026,45948,5042,2126,67011,32533,143624,384692,39788,47893,11261,13519,350047,143123,1354,38723,14302,162750,56571,21965,23161,91706,113534,78131,3687,81868,46204,33094,42638,2533,99778,5019,22481,6203,176783,16736,35765,406807,74932,25265,14579,101027,17793,69986,7906,78115,2277
7-17-2020,3626881,317730,33332,76373,1338,45067,45099,4894,2108,65234,31762,141265,375363,39344,47893,11194,13429,337569,139872,1334,37907,13752,161785,55654,21965,22184,88590,113238,77206,3646,81338,45470,32248,41846,2471,97958,4907,22361,6165,176814,16456,34477,406305,73822,25056,14149,100241,17793,67612,7862,76336,2159
7-16-2020,3549648,307572,32572,75433,1334,44313,44068,4783,2069,63091,31762,138523,366164,38726,47893,11115,13337,327241,135183,1311,37722,13133,160509,54813,21965,21605,88590,112879,76371,3636,80593,45013,31288,40829,2366,95477,4792,22134,6165,176551,16138,33295,405551,72280,24140,13802,99478,17793,66060,7789,73819,2081
7-15-2020,3478695,292656,31845,74431,1325,43046,43139,4657,2026,61088,31114,134613,356178,38155,47750,11076,13114,315775,131275,1292,37132,12445,159082,54080,20933,21083,86411,112581,75664,3598,79839,44347,30422,39797,2231,93426,4668,21979,6113,176501,15841,31915,404775,70601,23441,13509,98446,17711,64083,7694,71540,2032
7-14-2020,3413313,282365,30891,73527,1318,42304,42197,4557,1985,59067,30297,131354,347634,37686,47636,11026,13050,301810,127834,1264,36291,11718,157825,53370,20933,20677,84131,112347,75016,3578,78913,43742,29714,38567,2096,91266,4565,21717,6091,176278,15514,30468,404006,69311,22813,13081,97665,17640,62245,7652,69061,1631
7-13-2020,3350434,275058,30478,72443,1305,41757,41349,4407,1951,57255,29733,128097,336508,37242,47530,10946,12969,291629,123963,1243,35849,11402,156638,52685,20058,20223,82042,112130,74260,3566,77864,43170,28826,37542,1952,89484,4493,21399,6068,175915,15291,29619,403175,67995,21738,12805,96671,17588,60389,7572,66788,1579
